name,url,address,airport,distance,unit,rating,restname,mon,tue,wed,thur,fri,sat,sun,lat,long
Novotel Paris Les Halles,https://www.tripadvisor.com/Hotel_Review-g187147-d197424-Reviews-Novotel_Paris_Les_Halles-Paris_Ile_de_France.html,"8 Place Marguerite de Navarre, 75001 Paris France",ORY,9.0,mi,4.0,Le Jardin Privé,Monday 12:00 - 22:30,Tuesday 12:00 - 22:30,Wednesday 12:00 - 22:30,Thursday 12:00 - 22:30,Friday 12:00 - 22:30,Saturday 12:00 - 22:30,Sunday 12:00 - 22:30,48.86073,2.34652
citizenM Paris Champs-Élysées,https://www.tripadvisor.com/Hotel_Review-g187147-d23338812-Reviews-CitizenM_Paris_Champs_Elysees-Paris_Ile_de_France.html,"128 rue la Boetie, 75008 Paris France",ORY,10.0,mi,4.0,canteenM,Monday 6AM-11AM12PM-11PM,Tuesday 6AM-11AM12PM-11PM,Wednesday 6AM-11AM12PM-11PM,Thursday 6AM-11AM12PM-11PM,Friday 6AM-11AM12PM-11PM,Saturday 6AM-11AM12PM-11PM,Sunday 6AM-11AM12PM-11PM,48.87096,2.30596
Hotel Tourisme Avenue,https://www.tripadvisor.com/Hotel_Review-g187147-d558849-Reviews-Hotel_Tourisme_Avenue-Paris_Ile_de_France.html,"66 avenue de la Motte Picquet, 75015 Paris France",ORY,9.0,mi,4.0,Merci Jérôme,Monday 7AM-8PM,Tuesday 7AM-8PM,Wednesday 7AM-8PM,Thursday 7AM-8PM,Friday 7AM-8PM,Saturday 7AM-8PM,Sunday 7AM-8PM,48.8495,2.29816
Novotel Paris Centre Gare Montparnasse,https://www.tripadvisor.com/Hotel_Review-g187147-d597573-Reviews-Novotel_Paris_Centre_Gare_Montparnasse-Paris_Ile_de_France.html,"17 rue du Cotentin, 75015 Paris France",ORY,8.0,mi,4.0,Halle Quatre,"Monday 12:00 - 14:30, 19:00 - 22:30","Tuesday 12:00 - 14:30, 19:00 - 22:30","Wednesday 12:00 - 14:30, 19:00 - 22:30","Thursday 12:00 - 14:30, 19:00 - 22:30","Friday 12:00 - 14:30, 19:00 - 22:30",Saturday Closed,Sunday Closed,48.83858,2.31504
Pullman Paris Centre - Bercy,https://www.tripadvisor.com/Hotel_Review-g187147-d207838-Reviews-Pullman_Paris_Centre_Bercy-Paris_Ile_de_France.html,"1 rue de Libourne Cour Saint-Emilion, 75012 Paris France",ORY,7.0,mi,4.0,Ariette - Restaurant & Bar,Monday 12:00 - 22:30,Tuesday 12:00 - 22:30,Wednesday 12:00 - 22:30,Thursday 12:00 - 22:30,Friday 12:00 - 22:30,Saturday 12:00 - 22:30,Sunday 12:00 - 22:30,48.831470012121,2.387207011873
25hours Hotel Terminus Nord,https://www.tripadvisor.com/Hotel_Review-g187147-d653824-Reviews-25hours_Hotel_Terminus_Nord-Paris_Ile_de_France.html,"12 boulevard de Denain, 75010 Paris France",ORY,11.0,mi,4.0,Neni Paris,Monday 7:30AM-10:30AM12PM-11PM,Tuesday 7:30AM-10:30AM12PM-11PM,Wednesday 7:30AM-10:30AM12PM-11PM,Thursday 7:30AM-10:30AM12PM-11PM,Friday 7:30AM-10:30AM12PM-11PM,Saturday 7:30AM-10:30AM12PM-11PM,Sunday 7:30AM-10:30AM12PM-11PM,48.879657,2.3549177
Hyatt Regency Paris Etoile,https://www.tripadvisor.com/Hotel_Review-g187147-d595754-Reviews-Hyatt_Regency_Paris_Etoile-Paris_Ile_de_France.html,"3 Place du General Koenig, 75017 Paris France",ORY,11.0,mi,4.0,MAYO - Hyatt Regency Paris Etoile,Monday 12:00 - 22:00,Tuesday 12:00 - 22:00,Wednesday 12:00 - 22:00,Thursday 12:00 - 22:00,Friday 12:00 - 22:00,Saturday 12:00 - 22:00,Sunday 12:00 - 22:00,48.8805372,2.2845671
Hilton Paris Opera,https://www.tripadvisor.com/Hotel_Review-g187147-d207718-Reviews-Hilton_Paris_Opera-Paris_Ile_de_France.html,"108 Rue Saint-Lazare, 75008 Paris France",ORY,10.0,mi,4.0,Le Grand Salon,Monday 7:30AM-1AM,Tuesday 7:30AM-1AM,Wednesday 7:30AM-1AM,Thursday 7:30AM-1AM,Friday 7:30AM-1AM,Saturday 10:30AM-1AM,Sunday 10:30AM-11PM,48.84578,2.3717793
Canopy By Hilton Paris Trocadero,https://www.tripadvisor.com/Hotel_Review-g187147-d21281646-Reviews-Canopy_By_Hilton_Paris_Trocadero-Paris_Ile_de_France.html,"16 Avenue d Eylau, 75116 Paris France",ORY,10.0,mi,4.0,L'Esprit Nouveau,Monday 7AM-10:30AM,Tuesday 7AM-10:30AM,Wednesday 7AM-10:30AM,Thursday 7AM-10:30AM,Friday 7AM-10:30AM,Saturday 7AM-10:30AM,Sunday 7AM-10:30AM,48.864380990281,2.285046239109
Hotel Westminster,https://www.tripadvisor.com/Hotel_Review-g187147-d197477-Reviews-Hotel_Westminster-Paris_Ile_de_France.html,"13 Rue de la Paix, 75002 Paris France",ORY,10.0,mi,4.0,Duke’s Bar & Restaurant  – Hôtel Westminster Paris,Monday 07:00 - 23:00,Tuesday 07:00 - 23:30,Wednesday 07:00 - 23:00,Thursday 07:00 - 23:00,Friday 07:00 - 23:00,Saturday 07:00 - 24:00,Sunday 07:00 - 24:00,48.8693321,2.3311085
Courtyard by Marriott Paris Gare de Lyon,https://www.tripadvisor.com/Hotel_Review-g187147-d15243992-Reviews-Courtyard_by_Marriott_Paris_Gare_de_Lyon-Paris_Ile_de_France.html,"209 rue de Bercy, 75012 Paris France",ORY,8.0,mi,4.0,Kitchen & Bar,Monday 12PM-10:30PM,Tuesday 12PM-10:30PM,Wednesday 12PM-10:30PM,Thursday 12PM-10:30PM,Friday 12PM-10:30PM,Saturday 12PM-10:30PM,Sunday 12PM-10:30PM,48.8450747,2.371365
1K Paris,https://www.tripadvisor.com/Hotel_Review-g187147-d472236-Reviews-1K_Paris-Paris_Ile_de_France.html,"13 boulevard du Temple, 75003 Paris France",ORY,9.0,mi,4.0,INKA restaurant,Monday 12PM-2PM7PM-10:30PM,Tuesday 12PM-2PM7PM-10:30PM,Wednesday 12PM-2PM7PM-10:30PM,Thursday 12PM-2PM7PM-10:30PM,Friday 12PM-2PM7PM-10:30PM,Saturday 7PM-10:30PM,Sunday 12PM-2:30PM,48.8639586,2.3659619
L'Empire Paris,https://www.tripadvisor.com/Hotel_Review-g187147-d647228-Reviews-L_Empire_Paris-Paris_Ile_de_France.html,"48 rue de l Arbre Sec, 75001 Paris France",ORY,9.0,mi,4.0,L'Empire Café,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Novotel Paris Centre Bercy,https://www.tripadvisor.com/Hotel_Review-g187147-d197487-Reviews-Novotel_Paris_Centre_Bercy-Paris_Ile_de_France.html,"85 rue de Bercy, 75012 Paris France",ORY,8.0,mi,4.0,Le Paris Bercy,"Monday 12:00 - 14:30, 18:30 - 22:30","Tuesday 12:00 - 14:30, 18:30 - 22:30","Wednesday 12:00 - 14:30, 18:30 - 22:30","Thursday 12:00 - 14:30, 18:30 - 22:30","Friday 12:00 - 14:30, 18:30 - 22:30","Saturday 12:00 - 14:30, 18:30 - 22:30","Sunday 12:00 - 14:30, 18:30 - 22:30",48.8388735,2.3806315
Le Grand Quartier,https://www.tripadvisor.com/Hotel_Review-g187147-d19101450-Reviews-Le_Grand_Quartier-Paris_Ile_de_France.html,"15 rue de Nancy, 75010 Paris France",ORY,10.0,mi,4.0,BABINES,Monday - Closed,Tuesday 19:30 - 22:30,Wednesday 19:30 - 22:30,Thursday 19:30 - 22:30,Friday 19:30 - 22:30,Saturday 19:30 - 22:30,Sunday - Closed,48.8723226,2.358486
La Villa Haussmann,https://www.tripadvisor.com/Hotel_Review-g187147-d11666465-Reviews-La_Villa_Haussmann-Paris_Ile_de_France.html,"132 boulevard Haussmann, 75008 Paris France",ORY,10.0,mi,4.0,N3 Villa Haussmann,Monday 12:00 - 14:30,Tuesday 12:00 - 14:30,Wednesday 12:00 - 14:30,Thursday 12:00 - 14:30,Friday 12:00 - 14:30,Saturday - Closed,Sunday - Closed,48.8752929,2.3167096
Novotel Paris 17,https://www.tripadvisor.com/Hotel_Review-g187147-d259318-Reviews-Novotel_Paris_17-Paris_Ile_de_France.html,"34 avenue de la Porte D Asnieres, 75017 Paris France",ORY,12.0,mi,4.0,Bistro Carvi ,Monday 19:00 - 22:30,Tuesday 19:00 - 22:30,Wednesday 19:00 - 22:30,Thursday 19:00 - 22:30,Friday 19:00 - 22:30,Saturday 19:00 - 22:30,Sunday 19:00 - 22:30,48.891779020844,2.30201401855
Hotel des Grands Boulevards,https://www.tripadvisor.com/Hotel_Review-g187147-d12995518-Reviews-Hotel_des_Grands_Boulevards-Paris_Ile_de_France.html,"17 boulevard Poissonniere, 75002 Paris France",ORY,10.0,mi,4.0,Restaurant,"Monday 07:00 - 11:00, 12:00 - 15:00, 19:00 - 00:00","Tuesday 07:00 - 11:00, 12:00 - 15:00, 19:00 - 00:00","Wednesday 07:00 - 11:00, 12:00 - 15:00, 19:00 - 00:00","Thursday 07:00 - 11:00, 12:00 - 15:00","Friday 07:00 - 11:00, 12:00 - 15:00","Saturday 07:00 - 11:00, 12:00 - 15:00","Sunday 07:00 - 11:00, 12:00 - 16:00, 19:00 - 00:00",48.8710173,2.3449353
Le Belleval,https://www.tripadvisor.com/Hotel_Review-g187147-d13568674-Reviews-Le_Belleval-Paris_Ile_de_France.html,"16 rue de la Pepiniere, 75008 Paris France",ORY,10.0,mi,4.0,Le Belleval,Monday 12:00 - 14:00,Tuesday 12:00 - 14:00,Wednesday 12:00 - 14:00,Thursday 12:00 - 14:00,Friday 12:00 - 14:00,Saturday - Closed,Sunday - Closed,48.8751689,2.3221056
"Maison Astor Paris, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g187147-d229443-Reviews-Maison_Astor_Paris_Curio_Collection_by_Hilton-Paris_Ile_de_France.html,"11 Rue d’Astorg, 75008 Paris France",ORY,11.0,mi,4.0,Maison Astor Paris,Monday 12:00 - 14:00,Tuesday 12:00 - 14:00,Wednesday 12:00 - 14:00,Thursday 12:00 - 14:00,Friday 12:00 - 14:00,Saturday - Closed,Sunday - Closed,48.8728414,2.3193943
Hotel Observatoire Luxembourg,https://www.tripadvisor.com/Hotel_Review-g187147-d325717-Reviews-Hotel_Observatoire_Luxembourg-Paris_Ile_de_France.html,"107 Boulevard Saint Michel, 75005 Paris France",ORY,8.0,mi,4.0,Le Luco,Monday 07:00 - 22:00,Tuesday 07:00 - 22:00,Wednesday 07:00 - 22:00,Thursday 07:00 - 22:00,Friday 07:00 - 22:00,Saturday 07:00 - 22:00,Sunday - Closed,48.8436885,2.3390487
Mercure Paris Gare Montparnasse,https://www.tripadvisor.com/Hotel_Review-g187147-d269058-Reviews-Mercure_Paris_Gare_Montparnasse-Paris_Ile_de_France.html,"20 rue de la Gaite, 75014 Paris France",ORY,8.0,mi,4.0,Le Bistrot Le Bistrot de l'Echanson,Monday 12PM-11PM,Tuesday 12PM-11:15PM,Wednesday 12PM-11PM,Thursday 12PM-11PM,Friday 12PM-11PM,Saturday 4PM-11PM,Sunday Closed,48.8398289,2.3235832
Hotel Bachaumont,https://www.tripadvisor.com/Hotel_Review-g187147-d7776432-Reviews-Hotel_Bachaumont-Paris_Ile_de_France.html,"18 rue Bachaumont, 75002 Paris France",ORY,10.0,mi,4.0,Restaurant Bachaumont,Monday 7:30AM-2AM,Tuesday 7:30AM-2AM,Wednesday 7:30AM-2AM,Thursday 7:30AM-2AM,Friday 7:30AM-2AM,Saturday 7:30AM-2AM,Sunday 7:30AM-2AM,48.8661859,2.345032
Renaissance Paris Nobel Tour Eiffel Hotel,https://www.tripadvisor.com/Hotel_Review-g187147-d207743-Reviews-Renaissance_Paris_Nobel_Tour_Eiffel_Hotel-Paris_Ile_de_France.html,"55-57 Avenue Raymond Poincare, 75116 Paris France",ORY,10.0,mi,4.0,Le relais du Parc,Monday 12PM-2:30PM7PM-10:30PM,Tuesday 12PM-2:30PM7PM-10:30PM,Wednesday 12PM-2:30PM7PM-10:30PM,Thursday 12PM-2:30PM7PM-10:30PM,Friday 12PM-2:30PM7PM-10:30PM,Saturday 7PM-10:30PM,Sunday 12:30PM-3PM,48.867344056698,2.285868423676
Novotel Paris Vaugirard Montparnasse,https://www.tripadvisor.com/Hotel_Review-g187147-d197658-Reviews-Novotel_Paris_Vaugirard_Montparnasse-Paris_Ile_de_France.html,"257 rue de Vaugirard, 75015 Paris France",ORY,8.0,mi,4.0,Quindici Trattoria,"Monday 12:00 - 14:30, 19:00 - 23:00","Tuesday 12:00 - 14:30, 19:00 - 23:00","Wednesday 12:00 - 14:30, 19:00 - 23:00","Thursday 12:00 - 14:30, 19:00 - 23:00","Friday 12:00 - 14:30, 19:00 - 23:00",Saturday 19:00 - 23:00,Sunday 19:00 - 23:00,48.8401287,2.303616
Paris Marriott Opera Ambassador Hotel,https://www.tripadvisor.com/Hotel_Review-g187147-d197578-Reviews-Paris_Marriott_Opera_Ambassador_Hotel-Paris_Ile_de_France.html,"16 Boulevard Haussmann, 75009 Paris France",ORY,10.0,mi,4.0,Sixtine,"Monday 12:30 - 14:00, 18:30 - 22:00","Tuesday 12:30 - 14:00, 18:30 - 22:00","Wednesday 12:30 - 14:00, 18:30 - 22:00","Thursday 12:30 - 14:00, 18:30 - 22:00","Friday 12:30 - 14:00, 18:30 - 22:00",Saturday 18:30 - 22:00,Sunday - Closed,48.8726082,2.3366637
